"Units","scenario","year","market","value"
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"KSairCO2",-0.145089
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"KYCO2 removal",0.00186979
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"KYairCO2",-0.145089
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"LACO2 removal",0.00195895
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"LAairCO2",-0.145089
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"MACO2 removal",0.0012999
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"MAairCO2",-0.145089
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"MDCO2 removal",0.00170179
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"MDairCO2",-0.145089
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"MECO2 removal",0.169857
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"MEairCO2",-0.145089
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"MICO2 removal",0.00186979
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"MIairCO2",-0.145089
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"MNCO2 removal",0.00191331
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"MNairCO2",-0.145089
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"MOCO2 removal",0.00184185
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"MOairCO2",-0.145089
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"MSCO2 removal",0.00195955
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"MSairCO2",-0.145089
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"MTCO2 removal",0.00221062
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"MTairCO2",-0.145089
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"NCCO2 removal",0.00195961
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"NCairCO2",-0.145089
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"NDCO2 removal",0.00191324
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"NDairCO2",-0.145089
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"NECO2 removal",0.00191305
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"NEairCO2",-0.145089
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"NHCO2 removal",0.0012999
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"NHairCO2",-0.145089
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"NJCO2 removal",0.00170179
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"NJairCO2",-0.145089
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"NMCO2 removal",0.00231084
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"NMairCO2",-0.145089
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"NVCO2 removal",0.00220622
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"NVairCO2",-0.145089
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"NYCO2 removal",0.00161895
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"NYairCO2",-0.145089
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"OHCO2 removal",0.00186979
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"OHairCO2",-0.145089
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"OKCO2 removal",0.00222607
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"OKairCO2",-0.145089
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"ORCO2 removal",0.0021966
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"ORairCO2",-0.145089
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"PACO2 removal",0.0017097
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"PAairCO2",-0.145089
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"RICO2 removal",0.0012999
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"RIairCO2",-0.145089
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"SCCO2 removal",0.0019596
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"SCairCO2",-0.145089
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"SDCO2 removal",0.00191306
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"SDairCO2",-0.145089
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"TNCO2 removal",0.00197059
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"TNairCO2",-0.145089
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"TXCO2 removal",0.00254074
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"TXairCO2",-0.145089
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"UTCO2 removal",0.00221057
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"UTairCO2",-0.145089
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"VACO2 removal",0.0019596
